Obj. Id,Longitude,Latitude,Yld Mass(Dry)(lb/ac),Speed(mph)
1,-81.49588920,35.94459415,1680.30,2.66
2,-81.49588170,35.94461000,2451.20,2.91
3,-81.49586500,35.94462990,3238.90,3.04
4,-81.49586500,35.94462990,3880.40,3.09
5,-81.49585387,35.94463997,3496.30,3.15
6,-81.49584830,35.94464500,3046.90,3.15
7,-81.49584830,35.94464500,2172.10,3.09
8,-81.49582000,35.94466170,1889.00,3.07
9,-81.49579670,35.94468500,1248.50,3.11
10,-81.49579670,35.94468500,993.44,3.15
11,-81.49577830,35.94470830,677.03,3.09
12,-81.49577830,35.94470830,961.12,3.02
13,-81.49576163,35.94471497,1532.90,3.18
14,-81.49575330,35.94471830,1838.80,3.33
15,-81.49575330,35.94471830,2619.00,3.53
16,-81.49572330,35.94473500,2314.70,3.33
17,-81.49569670,35.94473330,2695.90,3.11
18,-81.49569670,35.94473330,2657.00,2.95
19,-81.49567170,35.94472500,3293.30,2.98
20,-81.49567170,35.94472500,3391.50,2.93
21,-81.49565163,35.94471713,3107.20,2.93
22,-81.49564160,35.94471320,3520.20,2.95
23,-81.49564160,35.94471320,3279.90,2.98
24,-81.49561500,35.94469500,3198.90,3.00
25,-81.49558330,35.94468000,1951.90,3.00
26,-81.49558330,35.94468000,1357.00,3.24
27,-81.49555670,35.94467170,671.43,3.51
28,-81.49555670,35.94467170,605.81,3.45
29,-81.49554337,35.94466447,571.43,3.15
30,-81.49551670,35.94465000,381.31,3.15
31,-81.49551670,35.94465000,307.53,3.00
32,-81.49549170,35.94464500,295.11,2.51
33,-81.49549000,35.94464000,626.04,1.19
34,-81.49549000,35.94464000,702.97,0.94
35,-81.49550113,35.94464887,389.85,1.72
36,-81.49550670,35.94465330,355.43,2.01
37,-81.49550670,35.94465330,311.96,2.13
38,-81.49552330,35.94466170,363.08,2.15
39,-81.49552330,35.94466170,414.85,1.95
40,-81.49553500,35.94466670,708.92,1.19
41,-81.49552830,35.94465670,3611.50,0.54
42,-81.49552830,35.94465670,3490.00,1.30
43,-81.49551610,35.94464777,4180.70,1.97
44,-81.49551000,35.94464330,5305.80,2.01
45,-81.49551000,35.94464330,4604.20,1.99
46,-81.49549000,35.94464170,4579.70,2.08
47,-81.49549000,35.94464170,4747.00,2.08
48,-81.49547670,35.94463500,4944.30,2.22
49,-81.49544670,35.94462170,4497.00,2.55
50,-81.49544670,35.94462170,4468.80,2.73
51,-81.49543110,35.94461390,4630.70,2.82
52,-81.49542330,35.94461000,3715.40,3.04
53,-81.49542330,35.94461000,3833.00,3.20
54,-81.49539170,35.94460000,3888.60,2.95
55,-81.49539170,35.94460000,4478.10,2.68
56,-81.49536830,35.94459160,4425.90,2.75
57,-81.49534670,35.94458170,4664.00,2.75
58,-81.49534670,35.94458170,5170.80,2.68
59,-81.49533003,35.94457170,5112.40,2.64
60,-81.49532170,35.94456670,4915.60,2.86
61,-81.49531250,35.94455665,4540.60,3.11
62,-81.49530330,35.94454660,4914.00,3.15
63,-81.49530330,35.94454660,4868.10,3.13
64,-81.49529170,35.94452500,5120.70,3.02
65,-81.49528420,35.94451415,5075.30,3.02
66,-81.49527670,35.94450330,5184.40,2.95
67,-81.49526670,35.94449000,5028.00,2.86
68,-81.49525670,35.94447670,5429.10,2.77
69,-81.49525170,35.94446335,5184.00,2.80
70,-81.49524670,35.94445000,5430.60,2.82
71,-81.49524250,35.94443750,5292.50,2.73
72,-81.49523830,35.94442500,5001.70,2.73
73,-81.49522330,35.94439830,4826.60,2.82
74,-81.49522330,35.94439830,4365.00,2.84
75,-81.49521997,35.94438163,4432.70,2.86
76,-81.49521830,35.94437330,3872.00,2.93
77,-81.49521750,35.94436080,3820.40,3.04
78,-81.49521670,35.94434830,3202.30,3.20
79,-81.49521750,35.94433415,3132.00,3.22
80,-81.49521830,35.94432000,3421.20,3.20
81,-81.49521330,35.94429830,3460.00,3.24
82,-81.49521330,35.94429830,3809.20,3.27
83,-81.49520110,35.94428163,3990.00,3.20
84,-81.49519500,35.94427330,3714.20,3.13
85,-81.49519500,35.94427330,3729.20,3.13
86,-81.49517670,35.94425830,3174.60,3.18
87,-81.49516585,35.94424500,3029.40,3.20
88,-81.49515500,35.94423170,2481.20,3.33
89,-81.49513500,35.94421330,2172.20,3.42
90,-81.49513500,35.94421330,2003.00,3.53
91,-81.49512053,35.94420443,1855.20,3.62
92,-81.49511330,35.94420000,2012.80,3.69
93,-81.49511330,35.94420000,2646.50,3.51
94,-81.49508670,35.94417830,3139.80,3.31
95,-81.49507335,35.94417080,3487.30,3.13
96,-81.49506000,35.94416330,3233.40,3.27
97,-81.49504000,35.94414830,3075.90,3.38
98,-81.49504000,35.94414830,2904.30,3.60
99,-81.49502113,35.94413943,2986.10,3.69
